date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:34:19	952382/952382	---MCZ	200	added ('OK')	text/html	etag:W/%2276cee6bfa35f42de6ce6f18b7273d79d%22	https://joshbk1.wixsite.com/joshtutor	/Users/Admin/websites/wixtry2/joshbk1.wixsite.com/joshtutor.html	(from )
18:34:20	201/201	---M--	200	added ('OK')	text/plain	date:Tue,%2024%20May%202022%2010:34:19%20GMT	https://joshbk1.wixsite.com/robots.txt		(from )
18:34:20	1061/1061	---M--	200	added ('OK')	image/x-icon	etag:%22627456bb-425%22	https://www.wix.com/favicon.ico	/Users/Admin/websites/wixtry2/www.wix.com/favicon.ico	(from https://joshbk1.wixsite.com/joshtutor)
18:34:22	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	/Users/Admin/websites/wixtry2/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://joshbk1.wixsite.com/joshtutor)
18:34:22	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	/Users/Admin/websites/wixtry2/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://joshbk1.wixsite.com/joshtutor)
18:34:24	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2011%20May%202022%2002:59:48%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	/Users/Admin/websites/wixtry2/polyfill.io/v3/polyfill.mind82c.js	(from https://joshbk1.wixsite.com/joshtutor)
18:34:25	84281/84281	---M-Z	200	added ('OK')	application/javascript	etag:%22b03beae40df5e8fb81b7a2f58af5209f%22	https://browser.sentry-cdn.com/6.19.1/bundle.tracing.min.js	/Users/Admin/websites/wixtry2/browser.sentry-cdn.com/6.19.1/bundle.tracing.min.js	(from https://joshbk1.wixsite.com/joshtutor)
18:34:25	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20May%202022%2010:34:25%20GMT	https://joshbk1.wixsite.com/decodeURIComponent(e	/Users/Admin/websites/wixtry2/joshbk1.wixsite.com/decodeURIComponent(e	(from https://joshbk1.wixsite.com/joshtutor)
18:34:26	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20May%202022%2010:34:26%20GMT	https://joshbk1.wixsite.com/sitemap.xml	/Users/Admin/websites/wixtry2/joshbk1.wixsite.com/sitemap.xml	(from https://joshbk1.wixsite.com/joshtutor)
18:34:27	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20May%202022%2010:34:27%20GMT	https://joshbk1.wixsite.com/feed.xml	/Users/Admin/websites/wixtry2/joshbk1.wixsite.com/feed.xml	(from https://joshbk1.wixsite.com/joshtutor)
18:34:29	167174/167174	---M-Z	200	added ('OK')	application/javascript	etag:W/%22eeca1213d98a222091b218852e2f9e63%22	https://static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.bec8a0f6.bundle.min.js	/Users/Admin/websites/wixtry2/static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.bec8a0f6.bundle.min.js	(from https://joshbk1.wixsite.com/joshtutor)
18:34:31	179805/179805	---M-Z	200	added ('OK')	application/javascript	etag:W/%223e753a8178439e1c0ebc47c2e688c3f4%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.590f0ed9.bundle.min.js	/Users/Admin/websites/wixtry2/static.parastorage.com/services/wix-thunderbolt/dist/main.590f0ed9.bundle.min.js	(from https://joshbk1.wixsite.com/joshtutor)
